timestamp,user_agent,type,device_token,device_type,page,activity,message
1665160114659,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,,
1665160115437,,open_page,,,assess,,
1665160142252,,open_page,,,assess,sgw7gnftwypmzadn2bag,
1665160143260,,open_page,,,assess,,
1665160258794,,open_page,,,assess,z910mqjp402nxm0ytw5n,
1665160259888,,open_page,,,assess,,
1665160284327,,open_page,,,assess,p64htcp9nqev3e3g7ar7,
1665160285322,,open_page,,,assess,,
1665160433172,,open_page,,,assess,0atztk77dzjcrf5bwhy5,
1665160434133,,open_page,,,assess,,
1665160599910,,open_page,,,assess,pb7kf710tyyvg312qmzy,
1665160601388,,open_page,,,assess,,
1665160608475,,open_page,,,portal,,
1665160615284,,open_page,,,manage,,
1665160617925,,open_page,,,feed,,
1665163573653,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,,
1665163576778,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone14,3",log,,iOS,,,GPS Failed: The operation couldn’t be completed. (kCLErrorDomain error 1.)
1665163580905,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,,
1665163582022,,open_page,,,assess,,
