timestamp,user_agent,type,device_token,device_type,page,activity,message
1667928704135,"NativeCore 2022.7.13; iOS 16.0.3; iPhone iPhone12,8",login,00c4e09b1ff078574b3c64f607cdaf860b6f081d0d9553b36a0bbd4d29f102c0,iOS,,,
1667928704170,"LAMP-dashboard/2022.11.7 Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",login,,Dashboard,,,
1667928955292,,open_page,,,,,
1667928957887,,open_page,,,assess,,
1667929258699,,open_page,,,,,
1667930384979,,open_page,,,assess,,
1667930394680,,open_page,,,,,
1667930412253,,open_page,,,assess,,
1667930721451,,open_page,,,,,
1667931921274,,open_page,,,assess,,
1667931923343,,open_page,,,,,
1667935249880,,open_page,,,assess,,
1667935258918,,open_page,,,,,
1667935497602,,open_page,,,assess,,
1667935507264,,open_page,,,,,
1667935511322,,open_page,,,assess,,
1667935523857,,open_page,,,,,
1667935525787,,open_page,,,assess,,
1667935529395,,open_page,,,,,
1667935534691,,open_page,,,assess,,
1667935541060,,open_page,,,,,
1667935645755,"NativeCore 2022.7.13; iOS 16.0.3; iPhone iPhone12,8",log,,iOS,,,GPS Failed: The operation couldn’t be completed. (kCLErrorDomain error 1.)
1667935648840,"NativeCore 2022.7.13; iOS 16.0.3; iPhone iPhone12,8",login,00c4e09b1ff078574b3c64f607cdaf860b6f081d0d9553b36a0bbd4d29f102c0,iOS,,,
1667935659767,,open_page,,,,,
1667936297791,,open_page,,,assess,,
1667936304243,,open_page,,,,,
1667940197971,,open_page,,,assess,,
1667940200893,,open_page,,,,,
1667940378817,,open_page,,,assess,,
1667940408276,,open_page,,,,,
1667940669470,,open_page,,,assess,,
1667940673160,,open_page,,,,,
1667940970827,,open_page,,,assess,,
1667940974062,,open_page,,,,,
1667942633445,,open_page,,,assess,,
1667942636471,,open_page,,,,,
1667942993006,,open_page,,,assess,,
1667942996504,,open_page,,,,,
1667943169237,,open_page,,,assess,,
1667943172841,,open_page,,,,,
1667943265223,,open_page,,,assess,,
1667943268269,,open_page,,,,,
1667943325978,,open_page,,,assess,,
1667943328991,,open_page,,,,,
1667947047933,,open_page,,,assess,,
1667947053288,,open_page,,,,,
