timestamp,user_agent,type,device_token,device_type,page,activity,message
1668167162566,"NativeCore 2022.7.13; iOS 16.0.3; iPhone iPhone12,8",login,00c4e09b1ff078574b3c64f607cdaf860b6f081d0d9553b36a0bbd4d29f102c0,iOS,,,
1668167165335,,open_page,,,,,
1668169375603,,open_page,,,assess,,
1668169378429,,open_page,,,,,
1668170595812,,open_page,,,assess,,
1668170598744,,open_page,,,,,
1668170671245,,open_page,,,assess,,
1668170673691,,open_page,,,,,
1668176232340,"NativeCore 2022.7.13; iOS 16.1.1; iPhone iPhone12,8",log,,iOS,,,GPS Failed: The operation couldn’t be completed. (kCLErrorDomain error 1.)
1668176371140,"NativeCore 2022.7.13; iOS 16.1.1; iPhone iPhone12,8",login,00c4e09b1ff078574b3c64f607cdaf860b6f081d0d9553b36a0bbd4d29f102c0,iOS,,,
1668176386641,,open_page,,,,,
1668176388652,,open_page,,,assess,,
1668176391197,,open_page,,,,,
1668176410291,,open_page,,,assess,,
1668176415430,,open_page,,,,,
1668176420375,,open_page,,,assess,,
1668176424115,,open_page,,,,,
1668176899519,,open_page,,,assess,,
1668176902281,,open_page,,,,,
