timestamp,type,page,activity,user_agent,device_token,device_type
1668076964358,open_page,assess,,,,
1668076967450,open_page,,,,,
1668077963842,open_page,assess,,,,
1668077968029,open_page,,,,,
1668078318384,open_page,assess,,,,
1668078322638,open_page,,,,,
1668078464039,open_page,assess,,,,
1668078467539,open_page,,,,,
1668078562357,open_page,assess,,,,
1668078564924,open_page,,,,,
1668078805532,open_page,assess,,,,
1668078808308,open_page,,,,,
1668078954139,open_page,assess,,,,
1668078956930,open_page,,,,,
1668079234642,open_page,assess,,,,
1668079236994,open_page,,,,,
1668082474205,login,,,"NativeCore 2022.7.13; iOS 16.0.3; iPhone iPhone12,8",00c4e09b1ff078574b3c64f607cdaf860b6f081d0d9553b36a0bbd4d29f102c0,iOS
1668082477291,open_page,,,,,
1668084235536,login,,,"NativeCore 2022.7.13; iOS 16.0.3; iPhone iPhone12,8",00c4e09b1ff078574b3c64f607cdaf860b6f081d0d9553b36a0bbd4d29f102c0,iOS
1668084242124,open_page,,,,,
1668089505900,login,,,"NativeCore 2022.7.13; iOS 16.0.3; iPhone iPhone12,8",00c4e09b1ff078574b3c64f607cdaf860b6f081d0d9553b36a0bbd4d29f102c0,iOS
1668089509035,open_page,,,,,
1668097456089,open_page,assess,,,,
1668097758099,open_page,,,,,
1668100030335,open_page,assess,,,,
1668100031640,open_page,,,,,
1668109436357,open_page,assess,,,,
1668109439037,open_page,,,,,
1668111303805,open_page,assess,,,,
1668111306663,open_page,,,,,
1668113945166,open_page,assess,,,,
1668113948370,open_page,,,,,
1668114582103,open_page,assess,,,,
1668114585979,open_page,,,,,
1668115263241,open_page,assess,,,,
1668115266000,open_page,,,,,
1668115762021,open_page,assess,,,,
1668115925035,open_page,,,,,
1668118150743,open_page,assess,,,,
1668118152880,open_page,,,,,
1668126974292,open_page,assess,,,,
1668126976712,open_page,,,,,
1668128567117,open_page,assess,,,,
1668128569761,open_page,,,,,
