timestamp,type,page,activity,user_agent,device_token,device_type
1664193827070,open_page,feed,,,,
1664193830720,open_page,learn,,,,
1664193834171,open_page,assess,,,,
1664193836563,open_page,manage,,,,
1664193840486,open_page,portal,,,,
1664193842727,open_page,learn,,,,
1664193844799,open_page,assess,,,,
1664193869585,open_page,assess,qeyb2b4anm05a3ndn5em,,,
1664193869911,open_page,assess,,,,
1664193876057,open_page,,,,,
1664193881677,open_page,assess,,,,
1664193883129,open_page,feed,,,,
1664193889828,open_page,,,,,
1664193891854,open_page,feed,,,,
1664193893633,open_page,manage,,,,
1664193894973,open_page,assess,,,,
1664193898631,open_page,feed,,,,
1664193964813,open_page,,,,,
1664196248854,open_page,feed,,,,
1664196250936,open_page,,,,,
1664205360699,login,,,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS
1664205360961,open_page,assess,,,,
1664205363449,open_page,feed,,,,
1664205425785,open_page,feed,34j36dmwaebpkdcf4sb0,,,
1664205426101,open_page,feed,,,,
1664205427438,open_page,feed,,,,
1664205487784,open_page,,,,,
1664205909846,open_page,feed,,,,
1664205912198,open_page,,,,,
1664212056894,login,,,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS
1664212057544,open_page,feed,,,,
1664213516756,login,,,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS
1664213517715,open_page,feed,,,,
1664242859166,login,,,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS
1664242860187,open_page,feed,,,,
