timestamp,user_agent,type,device_token,device_type,page,activity,value
1664564802789,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664564803129,,open_page,,,assess,,
1664564935378,,open_page,,,assess,f6e60sq8dj3r8g9bvnnz,
1664564935929,,open_page,,,assess,,
1664564980975,,open_page,,,assess,dazesjfy1pk2mawnr9ta,
1664564981409,,open_page,,,assess,,
1664565049193,,open_page,,,assess,fmaextcsmtyejnvebn01,
1664565049646,,open_page,,,assess,,
1664565068286,,open_page,,,assess,w3f34pqmw0pft0sjm4q9,
1664565068725,,open_page,,,assess,,
1664565089535,,open_page,,,assess,6xkvk5prh0avsac3graf,
1664565090028,,open_page,,,assess,,
1664565142169,,open_page,,,,,
1664566178002,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664566180530,,open_page,,,assess,,
1664567271772,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664567273272,,open_page,,,assess,,
1664569398758,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664569401518,,open_page,,,assess,,
1664570658840,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664570660015,,open_page,,,assess,,
1664571139480,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664571140848,,open_page,,,assess,,
1664571476391,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664573816014,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664573818966,,open_page,,,assess,,
1664574373720,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1664579521041,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",lowpowermode,,iOS,,,1.0
1664590358128,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",lowpowermode,,iOS,,,0.0
