timestamp,action,device_token,device_type,user_agent,type,page,activity
1666386717246,login,fN6OccspQd-XsNBesYOSfF:APA91bGxRCplVeeMA23JDsB3cnRCXGn0Nb1qmQW2dGSPkKYCRFrEtzNydD5OU4tZatEKnPRMa3NrlwTwAYRskQht45zz5cMqSBcXx0yrJkzo4MwLWWBXsAs3RXRQPohwR_bIyMBGquXw,Android,NativeCore 2022.4.25; Android 9; samsung; SM-G955U,,,
1666386727771,,,,,open_page,assess,
1666386743566,,,,,open_page,,
1666396421419,login,fN6OccspQd-XsNBesYOSfF:APA91bGxRCplVeeMA23JDsB3cnRCXGn0Nb1qmQW2dGSPkKYCRFrEtzNydD5OU4tZatEKnPRMa3NrlwTwAYRskQht45zz5cMqSBcXx0yrJkzo4MwLWWBXsAs3RXRQPohwR_bIyMBGquXw,Android,NativeCore 2022.4.25; Android 9; samsung; SM-G955U,,,
1666396429397,,,,,open_page,assess,
1666396436595,,,,,open_page,,
1666396525782,login,fN6OccspQd-XsNBesYOSfF:APA91bGxRCplVeeMA23JDsB3cnRCXGn0Nb1qmQW2dGSPkKYCRFrEtzNydD5OU4tZatEKnPRMa3NrlwTwAYRskQht45zz5cMqSBcXx0yrJkzo4MwLWWBXsAs3RXRQPohwR_bIyMBGquXw,Android,NativeCore 2022.4.25; Android 9; samsung; SM-G955U,,,
1666396535884,,,,,open_page,assess,
1666396540015,,,,,open_page,portal,
1666396555898,,,,,open_page,manage,
1666396564352,,,,,open_page,assess,
1666396566194,,,,,open_page,learn,
1666396569305,,,,,open_page,feed,
1666396573481,,,,,open_page,,
